#Frame      Dih_00096,#Frame      Dih_00097,#Frame      Dih_00098,#Frame      Dih_00099,#Frame      Dih_00100
     145       1.7502,     145     -31.5765,     145      46.5201,     145     -45.0438,     145      28.4385
     146     -14.5843,     146     -11.7832,     146      31.7496,     146     -37.0184,     146      34.0879
     147      -4.0201,     147     -17.9039,     147      31.3568,     147     -35.0140,     147      24.5029
     148       5.9639,     148     -30.7324,     148      37.2312,     148     -37.0737,     148      20.0575
     149      -3.4526,     149     -25.1735,     149      41.6733,     149     -45.9271,     149      32.0676
     150       7.9425,     150     -32.2425,     150      41.0221,     150     -36.7139,     150      19.2086
     151       8.7249,     151     -26.3353,     151      34.2981,     151     -29.1857,     151      13.5742
     152       1.2981,     152     -24.2290,     152      35.7979,     152     -36.5470,     152      24.6728
     153       8.4748,     153     -27.5040,     153      31.6023,     153     -29.8095,     153      14.3260
     154      -0.5769,     154     -24.3214,     154      36.9812,     154     -39.6894,     154      26.3661
     155       6.3463,     155     -20.2100,     155      27.2746,     155     -25.3787,     155      11.1082
     156      -0.8463,     156     -25.2970,     156      39.8307,     156     -41.9223,     156      27.0746
     157      18.5823,     157     -40.4998,     157      44.6481,     157     -35.0079,     157      11.8192
     158       6.0713,     158     -31.0602,     158      40.2522,     158     -39.3989,     158      21.9176
     159      -3.7598,     159     -21.0194,     159      36.6236,     159     -39.8734,     159      28.3373
     160       2.6625,     160     -28.1577,     160      41.2971,     160     -43.7239,     160      24.4163
     161      16.7695,     161     -38.8398,     161      42.3757,     161     -34.4045,     161      12.2620
     162      15.3189,     162     -35.7973,     162      38.0863,     162     -30.8463,     162       9.9871
     163      18.8627,     163     -34.8912,     163      33.4417,     163     -24.4486,     163       4.0703
     164      13.5769,     164     -33.4729,     164      38.7498,     164     -30.4964,     164      10.9303
     165       7.1561,     165     -22.3958,     165      27.8925,     165     -23.2327,     165      10.6245
     166      12.8093,     166     -30.7264,     166      36.5922,     166     -30.7253,     166      11.0171
     167       3.9981,     167     -29.1402,     167      40.5210,     167     -38.7808,     167      22.6472
