#Frame      Dih_00121 Dih_00122 Dih_00123 Dih_00124 Dih_00125
     278     -50.3156 46.6552 -26.0720 -1.7615 30.9680
     279     -34.5897 45.5371 -37.3399 17.7671 9.5051
     280     -37.9517 44.7612 -31.3962 10.1005 17.7598
     281     -33.1676 44.2771 -38.3189 19.6865 9.3409
     282     -33.2003 46.2904 -38.0755 20.4025 8.2747
     283     -28.5182 38.3562 -31.2935 15.3869 8.2759
     284     -23.3460 37.2786 -33.6018 21.7831 0.2782
     285     -32.6580 49.7144 -44.4161 30.1445 1.7166
     286     -16.3762 30.6376 -33.7928 24.2942 -4.3246
     287      -8.0791 28.2179 -35.1272 31.3404 -14.8231
     288     -35.2839 41.5125 -32.0015 11.7782 15.1896
     289     -40.1493 46.9103 -37.3660 15.8347 13.3571
     290     -32.0663 45.1590 -38.2447 21.3987 6.2632
     291     -15.0281 33.6147 -35.5956 30.6263 -9.6504
     292     -33.9590 44.9571 -35.4141 16.5559 11.9779
     293     -22.9340 41.4217 -42.5180 29.7350 -5.0307
     294     -43.1878 50.4316 -33.5739 8.2298 22.1381
     295     -29.3587 40.1791 -31.7839 15.5301 7.7861
     296     -40.8278 54.1428 -43.7878 20.0200 13.5136
     297     -19.6601 38.0756 -41.0319 29.0592 -6.5892
     298     -28.2899 44.6342 -42.1343 24.8722 1.8088
     299     -16.9109 32.4881 -32.9798 26.1679 -5.5113
     300     -18.6426 35.6538 -35.9719 27.1804 -5.4329
     301     -32.0463 36.8815 -30.1829 14.5541 11.0988
     302     -28.1363 44.2178 -40.2671 25.1939 1.5199
     303     -21.8375 36.7750 -39.3158 29.0222 -4.4501
     304     -22.7831 40.4593 -42.5557 29.0247 -3.9546
     305     -33.3830 40.6414 -32.1542 15.1774 11.5495
     306     -32.7564 43.7687 -34.0764 17.1269 10.4764
     307     -15.9233 34.0552 -35.7702 28.0644 -8.7467
     308     -26.8198 39.2432 -35.2935 21.3850 3.0270
     309     -30.8015 44.7751 -38.9787 23.6727 4.2835
