#Frame      Dih_00091 Dih_00092 Dih_00093 Dih_00094 Dih_00095
     145     -18.8414 36.1592 -35.5819 25.5391 -4.6548
     146      -4.0373 24.0343 -32.5912 32.1437 -17.1160
     147      -0.3460 23.0817 -36.0856 36.9363 -23.3041
     148     -13.2918 29.1161 -33.2666 27.2079 -8.1861
     149     -18.8649 38.8243 -40.6552 30.1240 -7.9830
     150     -34.9542 42.9179 -32.6107 13.9565 11.8802
     151       2.7553 13.7420 -24.1538 25.3587 -19.3650
     152      -0.4365 24.5626 -37.9232 37.8576 -23.2152
     153     -13.3897 33.0594 -39.8576 32.5698 -11.6136
     154       4.8077 22.2948 -37.4362 40.4442 -29.8560
     155       2.8564 18.2771 -31.3028 33.5575 -23.3544
     156      -9.8235 26.2807 -29.7506 24.2191 -10.5237
     157      -0.8729 16.4157 -22.9268 23.0478 -15.3201
     158      -9.6447 27.1542 -33.2204 30.4599 -13.1816
     159     -24.7539 39.3643 -37.0351 25.5555 -1.8198
     160     -16.7324 27.9792 -28.5810 19.3583 -1.1040
     161     -19.2969 36.8427 -39.3502 29.9635 -8.1356
     162     -22.7833 35.4117 -34.2654 22.2542 0.3875
     163       0.6810 19.0149 -29.5123 31.0958 -19.3349
     164     -12.1536 24.8852 -27.3893 22.4549 -6.7942
     165     -12.9083 30.7583 -36.1617 29.9720 -10.3560
     166      -9.6563 25.1116 -30.0495 25.3372 -10.1142
     167      -5.1663 21.7003 -27.7854 25.9864 -13.9488
     168      -0.3234 20.9192 -32.4527 33.6344 -21.1110
     169     -19.2697 33.7880 -33.2052 24.1447 -3.1783
     170     -17.3545 32.5076 -32.9454 25.1737 -5.0012
     171     -24.6688 31.1387 -25.4223 12.1660 7.7716
     172     -13.9999 28.1991 -31.4141 23.0339 -6.6324
     173     -19.5662 35.5417 -38.8274 28.7400 -5.8732
     174     -10.4264 29.2333 -35.4898 31.8988 -14.1821
     175     -24.9394 32.8725 -28.6762 16.2449 4.6013
     176     -13.6785 26.6876 -29.6221 22.5048 -5.2689
     177     -19.0469 39.4866 -43.5023 33.9778 -9.3501
     178     -14.4706 17.7699 -13.4828 5.1459 5.9053
     179       9.0354 10.7773 -24.7298 31.6204 -27.2274
     180       0.7135 21.7961 -34.2183 36.8656 -24.4407
     181     -13.7110 28.7937 -30.7177 24.4931 -6.8389
     182     -19.4635 38.1365 -36.7753 27.5069 -5.2023
     183      -0.0733 19.3530 -30.7030 31.9748 -19.5420
     184     -34.4186 45.0937 -36.9833 17.5407 10.4057
     185     -15.1545 34.1115 -38.3430 29.5952 -10.0579
     186     -11.9216 28.6370 -31.4955 25.7491 -9.3408
     187     -15.3723 35.4675 -40.4098 33.9944 -12.4340
     188     -19.7365 34.2140 -35.1311 25.4375 -3.5984
     189     -18.8825 28.3611 -27.7572 16.9239 1.5287
     190     -39.1926 45.2346 -33.3089 12.6039 17.3188
     191     -19.8182 30.4074 -30.7276 20.1691 -0.3805
     192       7.8497 14.0315 -27.7232 33.3354 -26.5867
     193      -5.0316 27.5317 -38.6192 36.2787 -19.3759
     194      -8.1714 26.7628 -32.4122 29.6461 -13.5759
     195       8.1937 15.3405 -29.9152 37.2889 -30.5974
     196      -5.7623 24.8843 -34.5523 31.8363 -16.3270
     197     -10.7578 28.2677 -34.4510 29.6055 -12.0588
     198      -2.0584 17.4034 -24.3737 23.2438 -13.4336
     199     -10.3429 16.4178 -15.3861 9.1458 0.8008
     200      -0.9238 21.6877 -33.0279 32.7574 -19.4584
     201       3.5938 19.0071 -33.8943 38.0803 -26.8277
     202     -19.0296 35.5455 -34.8260 22.5775 -1.8641
     203       2.9514 17.3617 -30.1829 30.9999 -22.0688
     204      -5.8940 23.2239 -29.7553 26.6197 -12.5668
     205      10.0363 12.6164 -26.9989 32.1378 -28.5902
     206       2.0678 9.0394 -14.9041 17.2573 -12.0148
     207       6.2497 14.6515 -26.3072 32.9788 -25.1822
     208     -22.8921 42.8416 -44.8768 33.8453 -7.5479
     209       8.8654 7.9754 -20.3099 25.5466 -22.2973
     210       9.6441 6.9912 -18.9715 24.1443 -22.4928
     211     -12.9641 10.4762 -3.3472 -4.7660 11.3946
     212     -22.1486 32.4614 -28.0721 15.9781 3.7129
     213      -9.9150 16.5229 -16.1554 11.5557 -1.0492
     214     -21.7160 24.0937 -15.9672 3.5464 10.8457
     215     -17.4492 30.7834 -33.1738 26.4639 -5.0373
     216      -1.2216 23.9593 -38.5866 38.9159 -22.8176
     217       7.3553 9.7024 -21.9571 28.8868 -21.1292
     218     -23.2766 37.3039 -35.8716 24.5897 -0.7661
     219       2.2962 17.8705 -29.8340 31.1334 -22.0744
     220      11.7754 5.1886 -18.9230 26.8050 -24.7206
     221      -3.6323 25.2501 -36.5149 36.0280 -19.4024
     222      -8.7138 32.1842 -39.1565 37.0487 -17.8845
     223      -1.9164 19.3145 -26.0732 28.2044 -17.2033
     224     -13.1181 21.6703 -21.4213 14.4353 -1.4757
     225      -9.1019 22.9073 -25.7441 20.7240 -7.5913
     226       2.0861 24.6698 -41.6877 44.2515 -27.9441
     227     -11.8298 28.6875 -34.9921 28.7979 -10.5964
     228     -28.0171 39.4423 -37.9810 24.2642 1.6330
     229      -3.4926 19.1863 -25.3593 25.3511 -13.6858
     230       1.7016 18.2516 -29.8035 33.1832 -22.1893
     231     -32.0335 45.1687 -41.3237 23.3076 5.2640
     232     -15.9297 35.4728 -40.6618 35.2320 -10.9128
     233     -31.4818 46.0819 -42.6174 23.7245 5.0079
     234       4.0940 11.2169 -20.0312 22.3093 -17.1894
     235     -18.7223 37.4032 -38.0195 28.3743 -6.8823
     236     -13.3632 27.0632 -28.6275 21.3477 -5.9432
     237     -12.3802 29.7873 -34.7600 27.8969 -10.0941
     238       4.9634 15.4923 -28.3662 31.6414 -23.3789
     239     -24.9050 39.7209 -36.8364 26.2441 -0.9407
     240      -9.4202 32.9946 -43.2081 38.3857 -17.5306
     241     -33.3361 42.5808 -34.7705 15.0701 12.2939
     242     -36.3864 46.1050 -36.1413 16.8393 11.8445
     243     -29.7104 40.2030 -31.8106 16.5992 7.1265
     244     -25.4094 35.9760 -32.2311 18.2241 5.4156
     245     -22.3687 37.7824 -36.1007 26.6254 -2.9428
     246     -20.8521 33.8288 -31.8409 20.5029 0.5114
     247     -22.6312 42.6221 -44.0598 33.0207 -6.7477
     248     -19.8776 38.1971 -39.7591 29.3773 -5.9661
     249     -47.3360 53.0151 -39.9439 13.5207 20.5155
     250     -24.4660 43.1528 -44.1477 31.2656 -3.6749
     251     -30.6969 42.2740 -34.5821 18.6424 6.9270
     252     -29.5950 38.3474 -31.4279 15.7970 8.6091
     253     -16.4802 33.5517 -34.2203 27.5454 -6.7797
     254     -12.5642 29.6633 -34.8454 28.8318 -9.2917
     255     -23.2653 38.6780 -37.5944 24.3402 -1.1415
     256     -26.3676 46.6814 -47.8047 33.1352 -4.3330
     257     -27.0596 41.7515 -36.8294 24.9043 1.1382
     258      -2.5534 22.7201 -34.1337 34.1061 -20.6493
     259     -29.5764 38.8654 -35.4838 19.2894 7.0535
     260     -22.2504 33.2010 -31.7911 18.0389 2.8713
     261     -25.0976 35.5558 -30.5368 19.6101 3.4640
     262     -34.9876 48.3693 -42.1013 21.9417 8.3413
     263     -21.7339 38.3533 -38.7536 27.2493 -3.7921
     264     -35.6544 33.4095 -22.6770 3.9954 19.0732
     265     -25.0879 42.8931 -39.6390 29.4762 -3.6513
     266     -13.5658 31.3149 -35.4987 30.2884 -11.4249
     267     -10.9553 27.2503 -30.0983 25.7540 -10.2400
     268      -7.4571 29.2093 -40.6934 36.0315 -18.0442
     269     -24.5824 40.2526 -38.3669 25.3419 -0.7595
     270     -19.8606 30.6423 -28.3522 19.2800 -0.1445
     271     -22.6178 32.7732 -29.2627 17.7262 3.0909
     272     -41.4795 53.4059 -40.8142 15.3000 17.5995
     273     -28.1947 46.2326 -45.2983 32.1018 -2.4534
     274     -41.7150 47.9053 -34.6097 12.4502 18.9501
     275     -38.0077 46.0697 -34.7474 15.9408 14.2031
     276     -39.4843 55.2308 -43.9019 22.4835 10.3682
     277     -35.4581 40.2357 -32.4113 13.4401 14.6107
     278     -40.2783 49.5820 -38.8925 15.7143 14.5978
     279     -33.8083 40.6885 -31.7116 14.2402 11.5946
     280     -26.7417 35.3040 -32.7214 18.8420 4.7630
     281     -31.0094 44.1856 -40.3755 27.4998 0.9862
     282     -35.4975 39.6936 -32.6771 14.3123 13.4088
     283     -26.9631 40.7495 -36.5627 22.0106 3.1048
     284     -21.9779 32.4570 -28.8001 17.6597 2.2107
     285     -31.7016 42.9635 -36.9344 21.5361 6.3313
     286     -27.0272 30.8587 -20.6067 4.8706 14.3911
     287     -18.9430 32.5997 -33.1781 22.4180 -2.9636
     288     -11.8861 28.9398 -35.4449 27.8495 -10.2500
     289     -11.8876 32.2325 -37.2088 33.0837 -13.3629
     290     -31.5319 38.9883 -30.3777 13.3421 10.4778
     291     -26.9323 37.5057 -33.2024 18.0530 5.9803
     292     -19.1866 28.9178 -28.3038 18.0683 0.8798
     293     -44.2805 54.1215 -43.2246 20.2982 14.9116
     294     -31.1287 41.2872 -30.5772 13.3957 10.3161
     295     -24.4944 37.3202 -34.9840 21.6913 2.2350
     296     -19.8500 34.8201 -34.3322 25.4789 -3.7931
     297     -27.9956 36.1078 -29.4819 13.6070 8.9934
     298     -40.6862 49.5395 -40.1298 17.9172 13.8454
     299     -34.0094 42.4485 -36.8862 17.9216 9.0450
     300     -32.2228 39.0842 -31.3528 15.6812 10.5342
     301     -14.3277 32.1558 -36.9038 31.4893 -10.7148
     302     -19.6342 31.1137 -30.2474 19.3820 -0.4936
     303      -8.3491 28.8740 -38.0093 36.7245 -17.3302
