#Frame      Dih_00146 Dih_00147 Dih_00148 Dih_00149 Dih_00150
     145       3.1704 18.5742 -30.5688 33.6130 -23.8191
     146      -8.4827 26.8656 -34.9992 30.6875 -14.6768
     147     -36.5150 42.3795 -33.3897 13.2357 14.6734
     148     -13.8249 22.1996 -21.7814 14.9618 -1.4694
     149     -22.3896 32.7934 -31.2949 19.3663 1.8191
     150     -13.6422 23.7996 -24.7416 17.0307 -1.6113
     151     -27.0889 43.3165 -42.0671 27.6736 -2.0586
     152     -14.1572 24.9169 -25.0156 18.6338 -2.6581
     153      -9.3881 29.0963 -37.3058 31.8776 -14.5013
     154     -27.9341 40.2332 -36.9814 22.0065 3.7661
     155     -19.0746 30.8889 -29.6048 19.9380 -0.4867
     156     -24.2767 36.8308 -34.6037 22.3479 0.3830
     157     -28.4039 37.0048 -32.5277 18.6287 6.0504
     158     -24.4930 32.1161 -25.5705 11.6990 7.7727
     159      -4.0485 16.3097 -22.2136 20.1065 -10.1670
     160      -7.4973 25.5067 -32.8074 30.3097 -13.7962
     161     -26.9912 30.1448 -22.1857 7.0477 12.5034
     162     -19.2182 31.8657 -29.6255 20.7182 -0.8368
     163     -17.1380 27.9347 -26.1551 17.4860 -0.7657
     164     -16.6984 34.1475 -37.2487 29.2215 -8.2620
     165     -23.6025 35.1865 -32.1851 20.9365 0.6762
     166      -3.6584 17.5449 -25.4192 23.7081 -12.1894
     167     -27.1924 33.1991 -28.7389 15.2038 7.2635
     168       8.5391 15.9974 -32.6266 39.6163 -30.1518
     169     -13.6655 29.5351 -31.7792 26.4269 -7.9160
     170      -7.4622 22.4940 -25.9860 23.2329 -9.9967
     171      -6.1937 22.5560 -28.9594 28.2877 -13.9149
     172      -6.1044 30.1195 -39.0789 37.5313 -20.6011
     173     -16.6153 29.2930 -28.1869 21.1798 -3.6186
     174      -3.2527 19.2725 -26.4339 25.2290 -14.2349
     175     -25.4142 32.4460 -27.2111 11.9614 8.1312
     176      -7.5629 27.0046 -34.5592 31.2064 -15.4430
     177      -4.8374 22.8800 -31.8928 29.7726 -15.0056
     178      -1.9396 21.7428 -31.1050 31.8200 -18.7338
     179      -8.7212 22.2922 -26.0569 21.9050 -7.5595
     180     -24.4698 37.3747 -32.7652 21.6845 1.0906
     181     -32.3297 48.8538 -42.4181 26.1964 3.3156
     182     -27.9410 35.4114 -27.0266 11.5348 9.6966
     183     -48.6490 45.5884 -25.0597 -1.5073 32.1734
     184     -15.1366 36.1483 -42.8807 34.4570 -11.6601
     185     -23.0517 38.5542 -36.4823 25.0183 -1.6104
     186     -34.1431 40.2229 -33.8676 14.1494 13.7510
     187     -10.2966 23.7453 -26.2064 21.5961 -7.7426
     188       5.2200 16.6664 -30.9908 35.2990 -25.4135
     189     -16.2772 28.0319 -26.9309 19.7451 -2.2489
     190       2.4098 19.8158 -32.0457 36.1131 -25.8242
     191     -15.4783 37.0871 -41.1353 33.5530 -11.4212
     192     -30.7316 38.4706 -32.2941 14.0680 10.0845
     193     -17.2096 32.0658 -34.0767 25.7004 -5.3115
     194     -30.2391 38.2121 -31.7601 14.9701 9.9284
     195     -10.4799 24.6555 -29.0621 24.7081 -9.1653
     196     -27.0665 36.4225 -32.7398 19.3839 4.0664
     197     -28.2512 39.6287 -35.1787 19.5422 4.6491
     198      -9.3259 27.2634 -32.4574 25.2154 -10.8119
     199     -13.8391 33.0510 -41.0507 34.3544 -12.0407
     200      -6.7789 24.3590 -32.9969 30.0823 -14.5116
     201     -12.7405 28.2106 -31.3184 24.1427 -7.4295
     202     -20.8649 28.7675 -23.9070 11.4864 5.5368
     203     -15.9249 33.9139 -37.8482 29.3747 -9.0635
     204       6.6586 16.0452 -31.2910 35.6660 -25.6929
     205     -44.2085 49.0120 -35.0932 11.7920 19.0382
     206     -15.4984 28.6396 -31.0821 23.0141 -4.6800
     207      -2.6574 16.0576 -22.8369 22.0345 -12.4397
     208     -21.4356 31.7979 -29.1771 18.7357 2.0067
     209     -17.3621 28.8873 -29.5341 20.6343 -2.5918
     210     -19.1352 34.3017 -37.2981 27.3096 -3.9502
     211     -20.1764 28.0863 -24.2823 13.5048 3.2720
     212     -20.4498 35.1715 -34.5521 25.0359 -3.7337
     213     -12.8149 25.9588 -27.6673 20.2258 -5.5501
     214     -24.3472 35.7482 -34.2773 22.0175 0.4611
     215      -9.2080 17.1939 -18.6369 13.9534 -3.0747
     216     -12.6037 30.3225 -35.4025 27.6799 -9.3313
     217      -9.8876 22.2467 -26.1701 20.3695 -6.7338
     218      -8.2760 26.2886 -33.8044 28.8795 -13.4571
     219     -16.8236 27.8307 -25.1671 17.5324 -0.6004
     220       1.4427 15.5904 -25.4295 28.4927 -18.2440
     221     -37.0860 40.0019 -26.1141 3.0258 21.5771
     222     -10.8032 29.7053 -36.3870 31.6446 -13.0610
     223     -18.4841 34.3776 -37.7068 27.7727 -5.6282
     224      -4.2014 29.5966 -38.7488 38.8257 -23.5195
     225      -5.5922 24.2289 -29.9002 27.2789 -14.5659
     226      -0.6779 20.9307 -31.0418 30.1975 -19.7776
     227      -5.4856 20.0073 -26.6409 23.5601 -11.6683
     228       0.5902 16.2890 -25.4463 26.6384 -17.5077
     229      -7.2085 18.7365 -23.4689 21.2881 -8.5709
     230      -5.9632 21.6589 -29.3831 26.2022 -11.9445
     231      -1.8361 18.2733 -26.6616 27.2661 -15.4867
     232     -33.7095 29.8324 -13.8730 -7.2612 26.2685
     233     -19.9011 40.4243 -40.2309 32.7898 -7.6342
     234     -21.1491 36.2699 -33.3205 23.1840 -2.0226
