#Frame      Dih_00136,#Frame      Dih_00137,#Frame      Dih_00138,#Frame      Dih_00139,#Frame      Dih_00140
     114       2.5837,     114     -26.9151,     114      39.5367,     114     -38.0086,     114      23.0951
     115     -14.9210,     115      -4.8508,     115      20.2569,     115     -32.1646,     115      30.6617
     116     -13.7834,     116     -10.0780,     116      29.5910,     116     -38.7254,     116      33.1727
     117     -18.7277,     117      -6.2575,     117      26.7668,     117     -38.3835,     117      38.1061
     118     -20.9378,     118       1.4208,     118      16.7630,     118     -29.4668,     118      29.8802
     119     -16.7781,     119       5.9316,     119       6.7578,     119     -16.9630,     119      21.4428
     120     -11.1532,     120      -5.5922,     120      18.9996,     120     -25.4388,     120      24.3030
     121      -0.5400,     121     -19.9734,     121      31.5004,     121     -33.5769,     121      21.7751
     122      -1.6097,     122     -17.3674,     122      27.3495,     122     -29.1033,     122      19.9480
     123      -6.8317,     123     -10.6120,     123      22.1083,     123     -26.8866,     123      21.7678
     124      -3.6585,     124     -13.4178,     124      25.3837,     124     -26.8165,     124      19.2421
     125       0.1533,     125     -23.9512,     125      37.7156,     125     -39.1635,     125      24.9392
     126     -12.5633,     126     -12.7343,     126      32.0878,     126     -41.1326,     126      31.9712
     127       0.1894,     127     -18.8209,     127      28.5110,     127     -30.2875,     127      19.2871
     128       2.8761,     128     -24.9578,     128      36.3938,     128     -36.2775,     128      21.5750
     129      -1.4352,     129      -9.8756,     129      16.4708,     129     -17.6156,     129      12.6470
     130      -9.5235,     130     -18.4032,     130      36.4594,     130     -43.0141,     130      35.5893
     131      -6.7427,     131     -14.9541,     131      28.1611,     131     -30.9828,     131      25.7573
     132       2.3442,     132     -28.8786,     132      40.6952,     132     -42.2973,     132      25.3850
     133      11.8413,     133     -26.9195,     133      31.9657,     133     -26.1823,     133       8.8748
     134      17.8357,     134     -35.5115,     134      39.3507,     134     -30.9040,     134       8.3557
     135       7.4745,     135     -27.2603,     135      34.4628,     135     -31.6387,     135      15.5505
     136       7.8158,     136     -28.7421,     136      37.0072,     136     -32.3220,     136      16.5487
     137       8.1542,     137     -31.6137,     137      41.3785,     137     -36.0969,     137      17.9155
     138      -3.7218,     138     -19.6319,     138      32.8998,     138     -37.2919,     138      24.6927
     139       2.5346,     139     -32.1851,     139      45.0594,     139     -42.1769,     139      25.9913
     140      -0.8450,     140     -23.0909,     140      34.1743,     140     -35.3567,     140      24.2990
     141      -4.6799,     141     -20.0441,     141      33.2979,     141     -38.7218,     141      27.4514
     142      -1.0206,     142     -24.8486,     142      39.4219,     142     -40.6927,     142      26.7756
     143      14.5707,     143     -32.5491,     143      35.1655,     143     -29.7676,     143       8.9140
     144     -10.0547,     144     -19.1723,     144      38.9998,     144     -45.5672,     144      35.5888
     145       2.3411,     145     -20.1492,     145      28.2145,     145     -28.2808,     145      16.8910
     146      -2.8570,     146     -17.1365,     146      28.3185,     146     -32.6284,     146      22.3741
     147      -3.4718,     147     -14.8755,     147      25.2197,     147     -26.1849,     147      18.6616
     148       3.1869,     148     -24.0060,     148      36.0960,     148     -36.6622,     148      19.6789
     149      -2.5701,     149     -19.0976,     149      31.2147,     149     -36.0057,     149      24.6655
     150       0.8983,     150     -20.1847,     150      30.6793,     150     -30.9920,     150      19.1714
     151      -9.7164,     151     -12.6381,     151      28.2825,     151     -34.3036,     151      26.6480
     152       2.8573,     152     -21.1489,     152      28.5118,     152     -28.7714,     152      18.0125
     153       1.9048,     153     -19.6477,     153      29.1843,     153     -29.6394,     153      16.9055
     154      -0.0802,     154     -20.7728,     154      33.2106,     154     -34.8976,     154      21.7051
     155      -8.8899,     155     -14.9794,     155      31.4227,     155     -36.4720,     155      28.8625
     156     -13.0424,     156     -14.3434,     156      33.8646,     156     -41.6800,     156      35.0622
     157       1.4132,     157     -22.0892,     157      31.9704,     157     -32.0722,     157      19.8436
     158       5.2737,     158     -28.1020,     158      38.6113,     158     -39.0001,     158      21.2495
     159       4.3076,     159     -25.9780,     159      35.0638,     159     -33.1985,     159      19.3786
     160       5.9878,     160     -21.7813,     160      28.0715,     160     -24.4150,     160      12.0721
     161      -1.4781,     161     -17.5925,     161      27.3437,     161     -30.0608,     161      19.2752
     162       0.0502,     162     -21.9958,     162      36.3088,     162     -37.0853,     162      22.6114
     163      10.4922,     163     -24.5347,     163      28.6885,     163     -23.7068,     163       8.5770
     164       6.7909,     164     -32.2909,     164      42.6979,     164     -41.6375,     164      22.9789
     165      -2.6662,     165     -20.7261,     165      34.3023,     165     -35.8239,     165      25.5006
     166      -5.9103,     166     -22.7355,     166      39.9463,     166     -43.9182,     166      30.3798
     167       5.5323,     167     -30.8400,     167      42.1835,     167     -42.7493,     167      23.2401
