#Frame      Dih_00061,#Frame      Dih_00062,#Frame      Dih_00063,#Frame      Dih_00064,#Frame      Dih_00065
      98     -31.3223,      98      25.5419,      98     -10.3590,      98      -8.3057,      98      25.2641
      99     -38.9332,      99      32.7686,      99     -15.1757,      99      -4.9416,      99      26.3674
     100     -44.4160,     100      41.4946,     100     -22.5836,     100      -2.3334,     100      29.9307
     101     -44.2548,     101      25.0722,     101       2.1425,     101     -26.8444,     101      45.2364
     102     -36.0074,     102       6.7633,     102      22.2808,     102     -45.1196,     102      48.2828
     103     -45.5658,     103      27.8436,     103      -1.7834,     103     -25.2882,     103      46.3139
     104     -33.0533,     104      40.1067,     104     -31.2423,     104      12.4724,     104      13.5867
     105     -25.9022,     105      41.0484,     105     -39.5922,     105      23.2420,     105       2.3908
     106     -35.4499,     106      36.8305,     106     -24.6460,     106       5.1276,     106      18.7120
     107     -44.5022,     107      38.8941,     107     -23.0704,     107      -2.0861,     107      29.7839
     108     -30.9320,     108      20.1932,     108      -3.8824,     108     -13.7775,     108      27.7727
     109     -44.5809,     109      26.2032,     109      -1.5694,     109     -23.8887,     109      42.7128
     110     -32.9346,     110      14.1820,     110       7.1571,     110     -26.7728,     110      37.4602
     111     -26.5679,     111      11.8692,     111       5.6167,     111     -20.8874,     111      30.7637
     112     -43.8172,     112      40.2065,     112     -22.2579,     112      -2.3096,     112      28.5295
     113     -24.9436,     113      32.8547,     113     -27.9867,     113      14.3017,     113       6.2567
     114     -31.8496,     114      39.6443,     114     -29.5483,     114      10.3660,     114      13.4545
     115     -32.5639,     115      25.4184,     115      -7.1033,     115     -13.4702,     115      28.0358
     116     -40.0743,     116      47.3011,     116     -31.9935,     116      11.0016,     116      16.6903
     117     -45.9809,     117      51.0992,     117     -38.7061,     117      12.6353,     117      23.2482
     118     -36.1892,     118      36.2475,     118     -24.6150,     118       5.8687,     118      17.7970
     119     -29.6005,     119      42.1006,     119     -39.5559,     119      25.9198,     119       1.2846
     120     -41.1243,     120      48.4781,     120     -36.5524,     120      14.0641,     120      16.6306
     121     -35.5868,     121      41.1569,     121     -28.1706,     121       9.1029,     121      16.1884
     122     -37.9875,     122      32.6129,     122     -15.7985,     122      -5.8642,     122      27.5078
     123     -33.5683,     123      22.2037,     123      -2.6528,     123     -17.6075,     123      32.6240
     124     -36.4110,     124      20.6279,     124       2.2583,     124     -24.5783,     124      38.3934
     125     -33.5376,     125      48.2804,     125     -40.0248,     125      25.5830,     125       3.8050
