#Frame      Dih_00116 Dih_00117 Dih_00118 Dih_00119 Dih_00120
     196      11.1302 -24.7294 26.8420 -23.2239 7.7509
     197       0.7088 -9.2446 13.1455 -13.9419 8.4493
     198      14.7718 -26.0011 25.0325 -17.5178 2.4927
     199      10.8992 -20.6872 22.0886 -16.5346 3.8567
     200      12.1980 -25.5454 28.2650 -21.4114 5.9739
     201       0.2284 -19.3751 28.9672 -28.7989 18.3800
     202     -11.2955 -13.0164 28.7771 -36.9046 31.6574
     203       6.6140 -22.1030 29.0416 -25.7521 12.2312
     204      13.2883 -25.3282 26.1129 -19.7721 4.9637
     205      18.0184 -28.6971 27.7221 -17.8047 -0.1696
     206      12.1574 -26.3156 27.9218 -19.8881 5.4120
     207       9.9387 -18.0190 18.9889 -13.2128 2.0284
     208      24.3081 -13.4187 -0.2819 13.4162 -24.6585
     209      28.0516 -29.3324 18.9286 -1.1463 -17.9669
     210      26.0943 -24.6018 14.2468 -0.1587 -15.8212
     211      10.1881 1.6388 -12.2695 18.4385 -18.8336
     212      17.6325 -3.3720 -10.8715 21.7450 -26.5707
     213      28.2223 -23.6696 9.2756 7.7756 -22.6025
     214      -6.6380 7.4606 -5.0219 1.1063 3.5969
     215      11.6773 4.8873 -19.3232 28.4050 -25.1731
     216      -5.5642 7.5301 -6.4281 3.5675 1.2167
     217      20.7100 -10.9167 -1.9365 13.5524 -21.8423
     218       8.6705 2.0137 -10.6313 15.5770 -16.2487
     219       9.6050 6.2103 -17.9654 24.7877 -21.7670
     220      21.9897 -8.1791 -6.7885 18.8984 -26.8559
     221      19.7098 -17.8758 10.3143 1.4813 -13.4703
     222      11.9312 -9.7675 3.8390 2.8927 -9.0619
     223       9.8585 -23.5770 27.0274 -21.2386 8.3738
     224      19.1470 -27.8671 24.5400 -13.2539 -3.8283
     225      10.0075 -18.7001 18.9702 -13.1373 2.1183
     226       9.7796 -21.1229 24.2373 -19.0138 5.5625
     227      14.6369 -23.3998 21.7942 -12.3758 -1.3505
     228      28.1039 -33.1486 26.9626 -10.3627 -11.7493
     229      23.8554 -28.6779 20.9476 -6.7691 -10.9673
     230      12.6342 -10.4465 4.9551 2.1146 -9.2874
     231      32.6365 -21.8436 5.5010 14.5982 -30.0747
     232      26.6263 -27.8482 18.1227 -1.4168 -16.9629
     233      27.3196 -26.1776 13.7828 1.8128 -19.6195
     234      -8.9546 7.0662 -2.3667 -3.0851 7.8260
     235      16.9471 -8.5668 -1.8946 12.7926 -19.6604
     236       8.2524 -5.6851 1.1699 3.6297 -7.8200
     237      29.7782 -25.3707 11.4448 5.8300 -22.2370
     238       6.1715 2.5939 -9.8015 14.0524 -12.5764
     239      20.7373 -7.8856 -5.8059 17.3764 -24.7503
     240      -3.4285 -3.8037 8.8208 -11.2865 9.3652
     241      21.3766 -23.9573 17.4857 -5.6255 -9.9053
     242       4.8260 5.5520 -13.0576 16.7722 -14.2563
     243       9.5712 -0.7641 -7.8538 13.7017 -14.8416
     244       5.4959 -17.1179 20.8396 -17.0877 7.5458
     245      23.0440 -27.9785 21.7300 -7.6778 -9.5170
     246      18.4041 -23.0861 19.7465 -10.5285 -4.3385
     247      17.1468 -12.3837 3.4030 6.2766 -14.6715
     248      22.7375 -19.2187 9.0947 4.5119 -18.1544
     249      22.6350 -25.2171 16.0560 -3.7686 -11.8527
     250      20.7738 -31.3036 28.1317 -16.1227 -2.6513
     251      15.9164 -20.5200 17.6278 -6.9060 -5.5189
     252      25.8715 -27.3426 17.4485 -3.3402 -13.1108
     253      17.6347 -29.6780 28.8030 -18.7606 1.0553
     254      10.1838 -27.6619 31.0764 -27.5820 11.2549
     255      -9.7556 -9.9863 24.2225 -29.9508 25.4731
     256     -12.1024 -10.1263 24.6730 -31.5470 28.8146
     257     -11.3397 -14.6201 30.7065 -41.6812 33.9471
     258     -10.9776 -13.1719 29.4604 -35.1937 30.5263
     259      -7.2697 -11.8941 24.8012 -30.3936 24.5700
     260      -2.0076 -13.1509 21.5993 -24.3061 17.7570
     261      15.1559 -23.6539 22.3158 -12.9910 -0.9911
     262      -1.5445 -15.4357 25.2816 -25.8219 17.0989
